lemma	type	MWE_Source
como si te estuviesen clavando miles de cristales	ExplicitMetaphor	
me encuentro como que ya fuera una persona mayor a la que no le queda mucho	ExplicitMetaphor	
me siento lenta y como en una burbuja de irrealidad	ExplicitMetaphor	
Hablele a su sillón como si estuviese sentada allí mismo	ExplicitMetaphor	
Vivo como si mañana no fuera a estar	ExplicitMetaphor	
lo veo como una señal	ExplicitMetaphor	
como un bollo	ExplicitMetaphor	
se calló como una costra	ExplicitMetaphor	
como todos los hombres	ExplicitMetaphor	
como obra del universo	ExplicitMetaphor	
como subida en una montaña rusa constante	ExplicitMetaphor	
Sé optimista y transmiteselo a ella pues en muchas ocasionas es la mejor de las medicinas.	ExplicitMetaphor	
me ha sentado como un tiro	ExplicitMetaphor	
les importamos como personas y no números	ExplicitMetaphor	
cada día es una bendición.	ExplicitMetaphor	
cada paciente/persona es un mundo	ExplicitMetaphor	
Eres una verdadera CAMPEONA	ExplicitMetaphor	
Es mi gran caballode batalla	ExplicitMetaphor	
es todo un caos	ExplicitMetaphor	
fue un mazazo	ExplicitMetaphor	
Fue un regalo	ExplicitMetaphor	
ha sido un golpe devastador	ExplicitMetaphor	
Ha sido un largo viaje.	ExplicitMetaphor	
la cara del medio era de película de terror	ExplicitMetaphor	
la esperanza de unos, es la esperanza de todos	ExplicitMetaphor	
las metastasis no siempre son muerte sin remedio	ExplicitMetaphor	
metastasis no es igual a muerte inminente	ExplicitMetaphor	
Mi única medicina, por el momento, es la fe,	ExplicitMetaphor	
no es un dolor es algo, tampoco es un cuerpo extraño es una sensación	ExplicitMetaphor	
soy la hija coraje de mi made	ExplicitMetaphor	
una buena alimentación también puede ser una buena medicina	ExplicitMetaphor	
vida siempre es un continuo cambio	ExplicitMetaphor	
ya es un angelito	ExplicitMetaphor	
abrazo muy fuerte, lleno de cariño y comprensión	FormulaicExpression	
Un abrazo	FormulaicExpression	
Un abrazo muy grande a todas	FormulaicExpression	
un fuerte abrazo	FormulaicExpression	
Un gran abrazo a tod@s	FormulaicExpression	
Un gran abrazo lleno de energía	FormulaicExpression	
mucha fuerza	FormulaicExpression	
mucha fuerza y alegría	FormulaicExpression	
Mucha fuerza y ánimo	FormulaicExpression	
todas mis fuerzas	FormulaicExpression	
cómo está yendo	FormulaicExpression	
cómo le va	FormulaicExpression	
cómo os ha ido	FormulaicExpression	
cómo te va	FormulaicExpression	
cómo vas	FormulaicExpression	
Espero que todo salga/haya salido bien	FormulaicExpression	
aquí me tienes	FormulaicExpression	
ahí estás.	FormulaicExpression	
aquí estamos	FormulaicExpression	
aquí estoy para lo que quireas	FormulaicExpression	
estamos a tu lado	FormulaicExpression	
estamos a vuestro lado	FormulaicExpression	
estar a su lado	FormulaicExpression	
ir rellenando el vacío que me ha dejado ella en mi corazón	Frame	
armarte de paciencia, valor y esperanza	Frame	
se nos abra una pequeña puerta hacia la esperanza	Frame	
lo único que acapara en mi cabeza es la muerte	Frame	
(el cáncer) haya cambiado mi vida	Frame	
la enfermedad les cambia el carácter	Frame	
caminar sobre un campo de minas	Frame	
la vida tiene que continuar con la minima normalidad.	Frame	
convive con el cáncer	Frame	
los familiares no somos medicos pero si tenemos mucho amor y mimos para daros	Frame	
pedir ayuda no es un signo de debilidad, sino de coraje	Frame	
abrazo muy fuerte, lleno de cariño y comprensión	Frame	
guiándote con cariño a través de este proceso	Frame	
Deberíamos unirnos y sumar.LLevo	Frame	
te sientes bien por dentro y por fuera	Frame	
Remamos en idéntico barco	Frame	
lucha se reduce a rezar	Frame	
me queda el último puerto de montaña	Frame	
caída libre sin control	Frame	
librarse de esta carga tan pesada	Frame	
teníamos un idioma que tan solo nosotras entendíamos (...) quién más va a entender este idioma	Frame	
han jugado siempre a tu favor.	Frame	
llevo una vida lo mas parecida a la normal	Frame	
siempre hay que mirar hacia delante	Frame	
amor el que te acompañará	Frame_RoleMismatch	
lo único que acapara en mi cabeza es la muerte	Frame_RoleMismatch	
medicina aunque lentamente avanza	Frame_RoleMismatch	
se me cayó el mundo encima	Frame_RoleMismatch	
se quieren caer a trozos	Frame_RoleMismatch	
me invade	Frame_RoleMismatch	
el universo me está obligando	Frame_RoleMismatch	
